Phylum,Species,MES.1,MES.2,MES.3,DLS.1,DLS.2,DLS.3,FX.1,FX.2,FX.3,HDT.1,HDT.2,HDT.3,MY.1,MY.2,MY.3,CD.1,CD.2,CD.3,KST.1,KST.2,KST.3,ALS.1,ALS.2,ALS.3,XSBN.1,XSBN.2,XSBN.3,JFL.1,JFL.2,JFL.3
p__Acidobacteria,s__Pyrinomonas methylaliphatogenes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteria,s__Candidatus Solibacter usitatus,0,0.168939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
